textDisplay,likeCount,remove_user,cleaning,tokenized_Content
Dramatis sekali episode pertama ini😅,0.0,Dramatis sekali episode pertama ini😅,Dramatis sekali episode pertama ini ,"['""Dramatis""', '""sekali""', '""episode""', '""pertama""', '""ini😅""']"
kita mendapatkan anime bni sebelum gta 6 🗣🗣🗣🔥🔥🔥,0.0,kita mendapatkan anime bni sebelum gta 6 🗣🗣🗣🔥🔥🔥,kita mendapatkan anime bni sebelum gta ,"['""kita""', '""mendapatkan""', '""anime""', '""bni""', '""sebelum""', '""gta""', '""6""', '""🗣🗣🗣🔥🔥🔥""']"
siapa sangka,0.0,siapa sangka,siapa sangka,"['""siapa""', '""sangka""']"
Eh y&#39;all ada yg tau ngak siapa pengisi suara di video ini soalnya gw ngak tau cok?,0.0,Eh y&#39;all ada yg tau ngak siapa pengisi suara di video ini soalnya gw ngak tau cok?,Eh yall ada yg tau ngak siapa pengisi suara di video ini soalnya gw ngak tau cok ,"['""Eh""', '""y""', '""&""', '""#""', '""39""', '"";""', '""all""', '""ada""', '""yg""', '""tau""', '""ngak""', '""siapa""', '""pengisi""', '""suara""', '""di""', '""video""', '""ini""', '""soalnya""', '""gw""', '""ngak""', '""tau""', '""cok""', '""?""']"
"Bank boleh dari Indonesia, tapi gak kaya presidenya saat kampanye kemarin mengglorifikasi AI. Meremehkan kualitas artis lokal😢",0.0,"Bank boleh dari Indonesia, tapi gak kaya presidenya saat kampanye kemarin mengglorifikasi AI. Meremehkan kualitas artis lokal😢",Bank boleh dari Indonesia tapi gak kaya presidenya saat kampanye kemarin mengglorifikasi AI Meremehkan kualitas artis lokal ,"['""Bank""', '""boleh""', '""dari""', '""Indonesia""', '"",""', '""tapi""', '""gak""', '""kaya""', '""presidenya""', '""saat""', '""kampanye""', '""kemarin""', '""mengglorifikasi""', '""AI""', '"".""', '""Meremehkan""', '""kualitas""', '""artis""', '""lokal😢""']"
Bagus sih klo ada orang indo bikin anime,0.0,Bagus sih klo ada orang indo bikin anime,Bagus sih klo ada orang indo bikin anime,"['""Bagus""', '""sih""', '""klo""', '""ada""', '""orang""', '""indo""', '""bikin""', '""anime""']"
Kita memiliki anime BNI sebelum GTA 6🔥🔥🔥🔥🔥🔥,0.0,Kita memiliki anime BNI sebelum GTA 6🔥🔥🔥🔥🔥🔥,Kita memiliki anime BNI sebelum GTA ,"['""Kita""', '""memiliki""', '""anime""', '""BNI""', '""sebelum""', '""GTA""', '""6🔥🔥🔥🔥🔥🔥""']"
BNI (Bank Nichijou Indonesia)😂😂,2.0,BNI (Bank Nichijou Indonesia)😂😂,BNI Bank Nichijou Indonesia ,"['""BNI""', '""(""', '""Bank""', '""Nichijou""', '""Indonesia""', '"")""', '""😂😂""']"
BNI Memasak,0.0,BNI Memasak,BNI Memasak,"['""BNI""', '""Memasak""']"
"<a href=""https://www.youtube.com/watch?v=GPR7sTZUBMI&amp;t=245"">4:05</a> BNI is licensed and supervised by the Indonesia Financial Services Authority (OJK) and Bank Indonesia. BNI is a participant in the Deposit Insurance Corporation (LPS) guarantee.",2.0,"<a href=""https://www.youtube.com/watch?v=GPR7sTZUBMI&amp;t=245"">4:05</a> BNI is licensed and supervised by the Indonesia Financial Services Authority (OJK) and Bank Indonesia. BNI is a participant in the Deposit Insurance Corporation (LPS) guarantee.", a href BNI is licensed and supervised by the Indonesia Financial Services Authority OJK and Bank Indonesia BNI is a participant in the Deposit Insurance Corporation LPS guarantee ,"['""<""', '""a""', '""href=""', '""\'\'""', '""https""', '"":""', '""//www.youtube.com/watch""', '""?""', '""v=GPR7sTZUBMI""', '""&""', '""amp""', '"";""', '""t=245""', '""\'\'""', '"">""', '""4:05""', '""<""', '""/a""', '"">""', '""BNI""', '""is""', '""licensed""', '""and""', '""supervised""', '""by""', '""the""', '""Indonesia""', '""Financial""', '""Services""', '""Authority""', '""(""', '""OJK""', '"")""', '""and""', '""Bank""', '""Indonesia""', '"".""', '""BNI""', '""is""', '""a""', '""participant""', '""in""', '""the""', '""Deposit""', '""Insurance""', '""Corporation""', '""(""', '""LPS""', '"")""', '""guarantee""', '"".""']"
